mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.24140063921610513,0.03443729585307182,0.025586446126302082,0.004299071379628874,5,sqrt,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.8517466410748561,0.8557278869778869,0.8540386977886978,0.8538377419471469,0.0016315365299393939,19
0.4697705904642741,0.03026980629918557,0.03864534695943197,0.002412247708033728,5,sqrt,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8562763915547025,0.8566492628992629,0.8504299754299754,0.8544518766279804,0.0028479846903594927,14
1.2148206233978271,0.022825710460864804,0.07849001884460449,0.006096681935978713,5,sqrt,2,250,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}",0.855278310940499,0.8546529484029484,0.8531173218673219,0.8543495270702564,0.000907934220248396,15
0.2333223819732666,0.00862703582083031,0.015799681345621746,0.0032950992045050415,5,sqrt,4,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.8522072936660269,0.8527334152334153,0.8493550368550369,0.8514319152514931,0.0014841987470612893,24
0.4968240261077881,0.03818758650419061,0.026094913482666016,0.0011333214555783306,5,sqrt,4,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.8565834932821497,0.8562653562653563,0.8520423832923832,0.854963744279963,0.0020697931144889083,13
1.2301223278045654,0.023111123141027468,0.08331163724263509,0.009197419284864066,5,sqrt,4,250,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}",0.8543570057581574,0.8551136363636364,0.8528101965601965,0.8540936128939968,0.0009586416023679205,17
0.24876070022583008,0.016156457201052264,0.022630055745442707,0.007626422890294784,5,log2,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.8518234165067179,0.8545761670761671,0.8540386977886978,0.8534794271238608,0.00119135684041658,20
0.4630674521128337,0.011677490058000232,0.0391993522644043,0.0042427255222918245,5,log2,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8559692898272553,0.855267199017199,0.8491246928746928,0.8534537272397157,0.003074479552331117,21
1.1641705830891926,0.02666814889361677,0.0724482536315918,0.00414328559649641,5,log2,2,250,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 250}",0.8545873320537428,0.8556511056511057,0.8498157248157249,0.8533513875068578,0.0025375298442532083,23
0.2300733725229899,0.010264498641022376,0.01769232749938965,0.005834668263534609,5,log2,4,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.852975047984645,0.8560350122850123,0.8512745700245701,0.8534282100980759,0.001969681794019525,22
0.4702622890472412,0.050883843113956786,0.03273653984069824,0.005356024537004231,5,log2,4,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.8554318618042227,0.8540386977886978,0.8527334152334153,0.8540679916087787,0.001101830921632044,18
1.1771876811981201,0.032742287664876,0.07325164477030437,0.012951727869300345,5,log2,4,250,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 250}",0.8558925143953935,0.8556511056511057,0.8508906633906634,0.8541447611457209,0.0023031042377708445,16
0.36811097462972003,0.028323750692982368,0.030514955520629883,0.004622579681006371,10,sqrt,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.8634932821497121,0.8620239557739557,0.8595669533169533,0.8616947304135404,0.0016197338318776754,8
0.6947867075602213,0.0581084347313711,0.06563488642374675,0.009910796573015666,10,sqrt,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8636468330134357,0.8621007371007371,0.8597972972972973,0.8618482891371567,0.0015816718555994892,4
1.739097277323405,0.045149302143225566,0.15384435653686523,0.010011168929427442,10,sqrt,2,250,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}",0.8638003838771593,0.8620239557739557,0.8595669533169533,0.8617970976560229,0.0017357192613391395,6
0.3470753033955892,0.021937998734541067,0.03193275133768717,0.005400768285033575,10,sqrt,4,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.8637236084452975,0.8617168304668305,0.8596437346437347,0.8616947245186207,0.0016656748509997108,9
0.6861162185668945,0.0140377080597523,0.05602002143859863,0.011399412758287802,10,sqrt,4,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.8621113243761996,0.8620239557739557,0.8595669533169533,0.8612340778223696,0.0011793745250722346,11
1.7389515240987141,0.04930077754868964,0.15264169375101724,0.006684079455200301,10,sqrt,4,250,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}",0.8634165067178503,0.8619471744471745,0.85995085995086,0.8617715137052949,0.0014202862154194904,7
0.3598933219909668,0.018762803797308904,0.03954601287841797,0.009927757136375361,10,log2,2,50,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.8641842610364683,0.8624846437346437,0.859029484029484,0.861899462933532,0.00214472359142553,2
0.6829973856608073,0.030445541120347936,0.06304661432902019,0.006171597481356119,10,log2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8637236084452975,0.8622542997542998,0.8603347665847666,0.8621042249281213,0.001387552792752048,1
1.7402112483978271,0.0667379521019249,0.15177234013875326,0.004218336788531525,10,log2,2,250,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 250}",0.8641842610364683,0.8614864864864865,0.8598740786240786,0.8618482753823443,0.0017781238260017973,5
0.3920111656188965,0.034575007485799995,0.03826308250427246,0.002780416459728335,10,log2,4,50,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.8630326295585413,0.860411547911548,0.8581081081081081,0.8605174285260658,0.0020118210502497813,12
0.6885164578755697,0.02241993983388067,0.07144522666931152,0.006776695299596729,10,log2,4,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.8631094049904031,0.8631756756756757,0.8593366093366094,0.8618738966675626,0.001794337055069617,3
1.7549005349477131,0.08404235760694764,0.16364836692810059,0.003785969011091033,10,log2,4,250,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 250}",0.8637236084452975,0.8609490171990172,0.8591830466830467,0.8612852241091203,0.0018688591161462572,10
0.5420913696289062,0.014965512487776474,0.069854736328125,0.007365343862437418,30,sqrt,2,50,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.849443378119002,0.8443642506142506,0.8440571253071253,0.8459549180134593,0.0024698983676177595,41
1.1493571599324544,0.025420956557654754,0.14158201217651367,0.011478210003294433,30,sqrt,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8496737044145873,0.8447481572481572,0.8442874692874693,0.8462364436500712,0.0024377762437300292,39
2.7637091477711997,0.017670962171146023,0.3674641450246175,0.03667270129722563,30,sqrt,2,250,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}",0.8495201535508637,0.8455159705159705,0.8448249385749386,0.8466203542139242,0.0020697839551939642,37
0.5654226938883463,0.056241833291064046,0.06474169095357259,0.006323758926038732,30,sqrt,4,50,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.8523608445297505,0.8492014742014742,0.8492782555282555,0.8502801914198267,0.0014715778076409651,29
1.0809447765350342,0.02267207176679041,0.1384430726369222,0.014415945491680652,30,sqrt,4,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.8545873320537428,0.848203316953317,0.8495853808353808,0.8507920099474803,0.0027423685093048845,26
2.7876976331075034,0.09956887811647182,0.3310147126515706,0.029473145251007207,30,sqrt,4,250,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}",0.8530518234165068,0.8498157248157249,0.8485104422604423,0.8504593301642246,0.001909049778402433,28
0.5592921574910482,0.020319691628504437,0.06806095441182454,0.008289077208600835,30,log2,2,50,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.848982725527831,0.8442874692874693,0.8422143734643734,0.8451615227598913,0.002831445392753478,45
1.1400426228841145,0.05464828941439757,0.1366283893585205,0.01983301451279388,30,log2,2,100,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8486756238003839,0.8452856265356266,0.8442874692874693,0.8460829065411599,0.0018780693211771994,40
2.748945395151774,0.03660223546320894,0.37137118975321454,0.007948822819407862,30,log2,2,250,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 250}",0.8497504798464491,0.8452856265356266,0.8446713759213759,0.8465691607678171,0.002263466259865985,38
0.5502466360727946,0.044391374028288064,0.07723609606424968,0.0025203788520719345,30,log2,4,50,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.8537428023032629,0.8498925061425061,0.8497389434889435,0.8511247506449043,0.0018523032934733878,25
1.073106050491333,0.03347791483431795,0.14904562632242838,0.014295717631573493,30,log2,4,100,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.8528214971209213,0.8495853808353808,0.8483568796068796,0.850254585854394,0.0018830965464319979,30
2.6957526206970215,0.034763535031097,0.3694499333699544,0.032396327415382814,30,log2,4,250,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 250}",0.852975047984645,0.8492014742014742,0.8494318181818182,0.8505361134559791,0.0017271490600908425,27
0.5567052364349365,0.040217195855931025,0.07329416275024414,0.010831010765605631,,sqrt,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.8485988483685221,0.8436732186732187,0.8439803439803439,0.8454174703406948,0.0022530654829254837,43
1.1095754305521648,0.03765790240189356,0.14501182238260904,0.0124663590478993,,sqrt,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8455278310940499,0.8443642506142506,0.84375,0.8445473605694335,0.0007372551758642883,47
2.789192040761312,0.056230112484647,0.35282301902770996,0.021290445737197274,,sqrt,2,250,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}",0.8468330134357006,0.8457463144963145,0.8435196560196561,0.8453663279838904,0.001379100347770857,44
0.5964589913686117,0.0032843103287551437,0.08246866861979167,0.01504194816086255,,sqrt,4,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.8521305182341651,0.8475890663390664,0.8481265356265356,0.8492820400665891,0.002026094636175918,35
1.0984957218170166,0.026955818773411865,0.15157492955525717,0.004161445348647544,,sqrt,4,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.8519769673704415,0.8478961916461917,0.8492782555282555,0.8497171381816296,0.001694628005488935,34
2.64641006787618,0.01877612393980629,0.2882208824157715,0.002261907882999119,,sqrt,4,250,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}",0.8528214971209213,0.8488943488943489,0.8488175675675675,0.8501778045276126,0.0018696357468719238,31
0.5814456939697266,0.013547566375062539,0.07486224174499512,0.005806780554064901,,log2,2,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.8469865642994242,0.8454391891891891,0.8422911547911548,0.8449056360932561,0.0019536677971141937,46
1.1862769921620686,0.049790368109368544,0.15384856859842935,0.017681181342127535,,log2,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8469865642994242,0.8426750614250614,0.8436732186732187,0.8444449481325681,0.0018428128911585954,48
2.599313577016195,0.044030366361674414,0.2901160717010498,0.0028344308589012854,,log2,2,250,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 250}",0.847831094049904,0.8441339066339066,0.8448249385749386,0.8455966464195831,0.0016049815046424798,42
0.5941476821899414,0.03897121051226301,0.08439938227335612,0.0037195308252650086,,log2,4,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.8523608445297505,0.8493550368550369,0.8482800982800983,0.8499986598882953,0.001727003270643117,32
1.0260799725850422,0.03062249095329485,0.1146090030670166,0.0031153032100816208,,log2,4,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.8509021113243762,0.8491246928746928,0.8476658476658476,0.8492308839549721,0.0013233311568478436,36
2.264411211013794,0.03792405982363112,0.28131794929504395,0.0013748283826555835,,log2,4,250,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 250}",0.8530518234165068,0.8478194103194103,0.8488943488943489,0.8499218608767554,0.0022563055880735912,33
